id	country	population	x	y
0	0	971	-743034	144992
1	0	1648	-713402	187736
2	0	796	-666584	155981
3	0	1364	-778528	171790
4	0	1020	-726305	149513
5	0	1131	-831105	179331
6	0	353	-737682	127313
7	0	1280	-779693	109586
8	0	1022	-649421	99294
9	0	249	-676091	40748
10	0	447	-716630	82089
11	1	3950	-391868	-95054
12	1	2692	-460310	-88040
13	1	2146	-501972	-193542
14	1	1772	-408438	-193364
15	1	3950	-240036	-205257
16	1	2692	-160474	-143149
17	1	2146	-205352	-62390
18	1	1772	-256981	13090
19	1	1694	-304401	-63776
20	1	1338	-358422	13314
21	1	1760	-332025	-195811
22	1	3386	-104480	280340
23	1	1177	-102444	317654
24	1	1419	-109483	227650
25	1	660	-416806	371193
26	1	1721	-328304	406534
27	1	3742	-442202	25261
28	1	1064	-438978	90366
29	1	1266	-384549	129792
30	1	1768	-152575	422226
31	1	1667	-317704	232897
32	1	2161	-381190	280221
33	1	1677	-345988	366245
34	1	2434	-481471	352244
35	1	5254	-580538	191420
36	1	4295	-574419	123869
37	1	2615	-518486	243485
38	1	2059	-424163	233981
39	1	3804	-484256	168033
40	1	1522	-529374	54999
41	1	512	-591294	29884
42	1	2007	-508352	-35283
43	1	1067	-580718	-36726
44	1	1612	-153422	81195
45	1	1704	-57835	132246
46	1	1088	-157844	151611
47	1	2598	-224783	228296
48	1	2796	-334009	477427
49	1	2421	-276713	107971
50	2	11055	-911140	-67681
51	2	1339	-761538	-89642
52	2	1866	-873365	31422
53	2	1786	-1005162	27431
54	2	2455	-995072	-189116
55	2	1431	-1123085	-529
56	2	1609	-816747	-244720
57	2	4014	-865181	123768
58	2	2316	-646655	-100571
59	2	1762	-557349	-160962
60	2	1124	-673923	-274144
61	2	3277	-1180489	-155330
62	2	2950	-1309389	-43033
63	2	1657	-1150305	-311835
64	2	2956	-1203563	-507061
65	2	2602	-1078329	-596854
66	2	710	-1024077	-378412
67	2	5743	-753767	-458871
68	2	1312	-916182	-409365
69	2	2361	-942724	-639112
70	2	4602	-713408	-632355
71	3	442	-637169	11527
72	4	568	-545877	387333
73	4	633	-608318	379011
74	4	477	-560175	349887
75	4	1090	-578332	305211
76	4	1941	-620025	265318
77	4	335	-638427	318684
78	4	1123	-669350	277606
79	4	2542	-681006	330783
80	4	3431	-719302	266774
81	4	376	-769841	221313
82	4	2383	-678466	218557
83	4	1143	-628362	174977
